date,GC,GG
2012-07-01 00:00:00,0.353,0.0
2012-07-01 00:30:00,0.5670000000000001,0.0
2012-07-01 01:00:00,0.547,0.0
2012-07-01 01:30:00,0.613,0.0
2012-07-01 02:00:00,0.519,0.0
2012-07-01 02:30:00,0.314,0.0
2012-07-01 03:00:00,0.324,0.0
2012-07-01 03:30:00,0.301,0.0
2012-07-01 04:00:00,0.34299999999999997,0.0
2012-07-01 04:30:00,0.332,0.0
2012-07-01 05:00:00,0.31,0.0
2012-07-01 05:30:00,0.32299999999999995,0.0
2012-07-01 06:00:00,0.294,0.0
2012-07-01 06:30:00,0.318,0.0
2012-07-01 07:00:00,0.336,0.0
2012-07-01 07:30:00,0.368,0.0
2012-07-01 08:00:00,0.34299999999999997,0.013000000000000001
2012-07-01 08:30:00,0.298,0.03
2012-07-01 09:00:00,0.317,0.059000000000000004
2012-07-01 09:30:00,0.32,0.092
2012-07-01 10:00:00,0.32899999999999996,0.145
2012-07-01 10:30:00,0.536,0.22699999999999998
2012-07-01 11:00:00,0.36,0.44799999999999995
2012-07-01 11:30:00,0.5720000000000001,0.4
2012-07-01 12:00:00,0.485,0.136
2012-07-01 12:30:00,0.4,0.057
2012-07-01 13:00:00,0.365,0.294
2012-07-01 13:30:00,0.3,0.424
2012-07-01 14:00:00,0.316,0.42
2012-07-01 14:30:00,0.312,0.364
2012-07-01 15:00:00,0.3,0.225
2012-07-01 15:30:00,0.36,0.151
2012-07-01 16:00:00,0.294,0.129
2012-07-01 16:30:00,0.316,0.057
2012-07-01 17:00:00,0.298,0.004
2012-07-01 17:30:00,0.3,0.0
2012-07-01 18:00:00,0.32799999999999996,0.0
2012-07-01 18:30:00,0.48700000000000004,0.0
2012-07-01 19:00:00,0.555,0.0
2012-07-01 19:30:00,0.5329999999999999,0.0
2012-07-01 20:00:00,0.583,0.0
2012-07-01 20:30:00,0.664,0.0
2012-07-01 21:00:00,0.5760000000000001,0.0
2012-07-01 21:30:00,0.643,0.0
2012-07-01 22:00:00,0.536,0.0
2012-07-01 22:30:00,0.562,0.001
2012-07-01 23:00:00,0.5589999999999999,0.0
2012-07-01 23:30:00,0.314,0.0
2012-07-02 00:00:00,0.307,0.0
2012-07-02 00:30:00,0.29100000000000004,0.0
2012-07-02 01:00:00,0.318,0.0
2012-07-02 01:30:00,0.304,0.0
2012-07-02 02:00:00,0.315,0.0
2012-07-02 02:30:00,0.33399999999999996,0.0
2012-07-02 03:00:00,0.312,0.0
2012-07-02 03:30:00,0.316,0.0
2012-07-02 04:00:00,0.306,0.0
2012-07-02 04:30:00,0.295,0.0
2012-07-02 05:00:00,0.317,0.0
2012-07-02 05:30:00,0.314,0.0
2012-07-02 06:00:00,0.318,0.0
2012-07-02 06:30:00,0.318,0.0
2012-07-02 07:00:00,0.28600000000000003,0.0
2012-07-02 07:30:00,0.507,0.015
2012-07-02 08:00:00,0.639,0.049
2012-07-02 08:30:00,0.385,0.105
2012-07-02 09:00:00,0.33899999999999997,0.23399999999999999
2012-07-02 09:30:00,0.317,0.324
2012-07-02 10:00:00,0.332,0.374
2012-07-02 10:30:00,0.31,0.387
2012-07-02 11:00:00,0.336,0.43200000000000005
2012-07-02 11:30:00,0.34,0.498
2012-07-02 12:00:00,0.335,0.507
2012-07-02 12:30:00,0.336,0.505
2012-07-02 13:00:00,0.308,0.519
2012-07-02 13:30:00,0.319,0.364
2012-07-02 14:00:00,0.324,0.35100000000000003
2012-07-02 14:30:00,0.344,0.358
2012-07-02 15:00:00,0.331,0.132
2012-07-02 15:30:00,0.316,0.212
2012-07-02 16:00:00,0.335,0.096
2012-07-02 16:30:00,0.324,0.085
2012-07-02 17:00:00,0.308,0.005
2012-07-02 17:30:00,0.363,0.0
2012-07-02 18:00:00,0.301,0.0
2012-07-02 18:30:00,0.311,0.0
2012-07-02 19:00:00,0.504,0.0
2012-07-02 19:30:00,0.708,0.0
2012-07-02 20:00:00,1.203,0.0
2012-07-02 20:30:00,0.919,0.0
2012-07-02 21:00:00,0.8290000000000001,0.0
2012-07-02 21:30:00,0.821,0.0
2012-07-02 22:00:00,1.578,0.0
2012-07-02 22:30:00,0.8370000000000001,0.0
2012-07-02 23:00:00,0.53,0.0
2012-07-02 23:30:00,0.349,0.0
2012-07-03 00:00:00,0.36,0.0
2012-07-03 00:30:00,0.303,0.0
2012-07-03 01:00:00,0.317,0.0
2012-07-03 01:30:00,0.29100000000000004,0.0
2012-07-03 02:00:00,0.318,0.0
2012-07-03 02:30:00,0.336,0.0
2012-07-03 03:00:00,0.298,0.0
2012-07-03 03:30:00,0.304,0.0
2012-07-03 04:00:00,0.295,0.0
2012-07-03 04:30:00,0.314,0.0
2012-07-03 05:00:00,0.31,0.0
2012-07-03 05:30:00,0.321,0.0
2012-07-03 06:00:00,0.316,0.0
2012-07-03 06:30:00,0.287,0.0
2012-07-03 07:00:00,0.3,0.0
2012-07-03 07:30:00,0.46399999999999997,0.015
2012-07-03 08:00:00,0.6990000000000001,0.048
2012-07-03 08:30:00,0.46,0.10800000000000001
2012-07-03 09:00:00,0.303,0.24100000000000002
2012-07-03 09:30:00,0.308,0.33299999999999996
2012-07-03 10:00:00,0.322,0.38799999999999996
2012-07-03 10:30:00,0.298,0.4
2012-07-03 11:00:00,0.31,0.445
2012-07-03 11:30:00,0.355,0.5
2012-07-03 12:00:00,0.308,0.508
2012-07-03 12:30:00,0.314,0.514
2012-07-03 13:00:00,0.304,0.43700000000000006
2012-07-03 13:30:00,0.313,0.188
2012-07-03 14:00:00,0.309,0.359
2012-07-03 14:30:00,0.32899999999999996,0.371
2012-07-03 15:00:00,0.325,0.295
2012-07-03 15:30:00,0.303,0.22899999999999998
2012-07-03 16:00:00,0.302,0.057
2012-07-03 16:30:00,0.321,0.021
2012-07-03 17:00:00,0.292,0.004
2012-07-03 17:30:00,0.341,0.0
2012-07-03 18:00:00,0.313,0.0
2012-07-03 18:30:00,0.297,0.0
2012-07-03 19:00:00,0.305,0.0
2012-07-03 19:30:00,0.29600000000000004,0.0
2012-07-03 20:00:00,0.301,0.0
2012-07-03 20:30:00,0.33299999999999996,0.0
2012-07-03 21:00:00,0.28800000000000003,0.0
2012-07-03 21:30:00,0.315,0.0
2012-07-03 22:00:00,0.293,0.0
2012-07-03 22:30:00,0.298,0.0
2012-07-03 23:00:00,0.41,0.001
2012-07-03 23:30:00,0.569,0.0
2012-07-04 00:00:00,0.311,0.0
2012-07-04 00:30:00,0.305,0.0
2012-07-04 01:00:00,0.307,0.0
2012-07-04 01:30:00,0.32799999999999996,0.0
2012-07-04 02:00:00,0.3,0.0
2012-07-04 02:30:00,0.32899999999999996,0.0
2012-07-04 03:00:00,0.275,0.0
2012-07-04 03:30:00,0.35600000000000004,0.0
2012-07-04 04:00:00,0.32299999999999995,0.0
2012-07-04 04:30:00,0.311,0.0
2012-07-04 05:00:00,0.301,0.0
2012-07-04 05:30:00,0.32,0.0
2012-07-04 06:00:00,0.335,0.0
2012-07-04 06:30:00,0.313,0.0
2012-07-04 07:00:00,0.38,0.0
2012-07-04 07:30:00,0.555,0.002
2012-07-04 08:00:00,0.787,0.028999999999999998
2012-07-04 08:30:00,0.41,0.113
2012-07-04 09:00:00,0.342,0.161
2012-07-04 09:30:00,0.327,0.215
2012-07-04 10:00:00,0.307,0.24
2012-07-04 10:30:00,0.32899999999999996,0.256
2012-07-04 11:00:00,0.3,0.35600000000000004
2012-07-04 11:30:00,0.316,0.332
2012-07-04 12:00:00,0.318,0.507
2012-07-04 12:30:00,0.34,0.379
2012-07-04 13:00:00,0.31,0.423
2012-07-04 13:30:00,0.304,0.484
2012-07-04 14:00:00,0.318,0.254
2012-07-04 14:30:00,0.309,0.174
2012-07-04 15:00:00,0.297,0.18100000000000002
2012-07-04 15:30:00,0.359,0.054000000000000006
2012-07-04 16:00:00,0.307,0.048
2012-07-04 16:30:00,0.306,0.036000000000000004
2012-07-04 17:00:00,0.318,0.003
2012-07-04 17:30:00,0.293,0.0
2012-07-04 18:00:00,0.314,0.0
2012-07-04 18:30:00,0.348,0.0
2012-07-04 19:00:00,0.312,0.0
